sensor_index,name,latitude,longitude,geometry
269504,Meadowview Leduc,53.24569,-113.5247,POINT(-113.5247 53.24569)
279217,Hollick Kenyon,53.626366,-113.42572,POINT(-113.42572 53.626366)
279309,Montrose- Alberta Lung,53.570538,-113.46885,POINT(-113.46885 53.570538)
26503,ACA_South Cooking Lake,53.415577,-113.1269,POINT(-113.1269 53.415577)
26633,ACA_Campbell Park,53.555477,-113.28192,POINT(-113.28192 53.555477)
26681,ACA_Hansen Estates,53.41918,-113.22016,POINT(-113.22016 53.41918)
27659,ACA_CloverdaleCL,53.535645,-113.47194,POINT(-113.47194 53.535645)
27707,ACA_Woodcroft,53.564735,-113.56231,POINT(-113.56231 53.564735)
27709,ACA_Lions Park,53.629276,-113.63121,POINT(-113.63121 53.629276)
27741,ACA_Natalia Park,53.654835,-113.67236,POINT(-113.67236 53.654835)
28587,ACA_Jamieson Park,53.491158,-113.65097,POINT(-113.65097 53.491158)
28617,ACA_Spruce Grove Fire Services,53.545223,-113.899765,POINT(-113.899765 53.545223)
28627,ACA_Windsor Park,53.526073,-113.530045,POINT(-113.530045 53.526073)
28629,ACA_Test3,53.489845,-113.45699,POINT(-113.45699 53.489845)
29211,ACA_LendrumAQMS,53.497707,-113.527115,POINT(-113.527115 53.497707)
52583,ACA_RAC,53.48924,-113.45945,POINT(-113.45945 53.48924)
52797,ACA_QueenAlexandraPark,53.509693,-113.5083,POINT(-113.5083 53.509693)
52941,ACA_CD Nova,53.5675,-113.31479,POINT(-113.31479 53.5675)
53099,ACA_Test7,53.490047,-113.45802,POINT(-113.45802 53.490047)
53109,ACA_Queen Alexandra,53.513386,-113.504105,POINT(-113.504105 53.513386)
53111,ACA_LaurierHeightsCL,53.517036,-113.56852,POINT(-113.56852 53.517036)
53143,ACA_HeritageLakes,53.609863,-113.62693,POINT(-113.62693 53.609863)
53155,ACA_Winterburn Industrial,53.56212,-113.66366,POINT(-113.66366 53.56212)
53215,ACA_CentennialPark,53.366737,-113.7184,POINT(-113.7184 53.366737)
53221,ACA_ArgyllCL,53.505424,-113.46344,POINT(-113.46344 53.505424)
53259,ACA_BeaumontCityHall,53.357925,-113.41434,POINT(-113.41434 53.357925)
53297,ACA_Secord,53.536823,-113.693825,POINT(-113.693825 53.536823)
53321,ACA_PrinceRupert,53.560955,-113.51841,POINT(-113.51841 53.560955)
53399,ACA_Mt Pleasant Park,53.012997,-112.845474,POINT(-112.845474 53.012997)
54145,HouseYEG,53.54118,-113.56681,POINT(-113.56681 53.54118)
60491,Athabasca GeoSpace,54.602673,-113.64429,POINT(-113.64429 54.602673)
60655,Athabasca University,54.713703,-113.31401,POINT(-113.31401 54.713703)
79371,ACA_O'Morrow,54.90272,-112.84355,POINT(-112.84355 54.90272)
91475,ACA_Poachers Landing,54.94255,-112.81085,POINT(-112.81085 54.94255)
114279,Sheppard Boulevard,53.242477,-113.54863,POINT(-113.54863 53.242477)
123361,ACA_Inside Education,53.539177,-113.51903,POINT(-113.51903 53.539177)
123383,ACA_Westmount,53.549595,-113.53986,POINT(-113.53986 53.549595)
123395,ACA_Belmont,53.59432,-113.394005,POINT(-113.394005 53.59432)
123419,ACA_Uncas Park,53.507637,-113.03368,POINT(-113.03368 53.507637)
123421,ACA-Spruce Grove Aspenglen,53.55923,-113.91254,POINT(-113.91254 53.55923)
123437,ACA_Augustana,53.0125,-112.82366,POINT(-112.82366 53.0125)
123445,ACA_BelgraviaCL,53.50989,-113.53188,POINT(-113.53188 53.50989)
123455,ACA_Hazeldean2,53.50794,-113.47934,POINT(-113.47934 53.50794)
123541,ACA_Highlands,53.566505,-113.42214,POINT(-113.42214 53.566505)
133075,TOWN OFFICE,53.52915,-114.00546,POINT(-114.00546 53.52915)
146904,ACA_Kiniski Gardens,53.477036,-113.39919,POINT(-113.39919 53.477036)
156367,ACA_Wetaskiwin (AQSU-708E),52.978676,-113.38429,POINT(-113.38429 52.978676)
156805,ACA_Klarvatten,53.641834,-113.48319,POINT(-113.48319 53.641834)
160929,BBCan_Edmonton_out_42C,53.42745,-113.39937,POINT(-113.39937 53.42745)
166941,ACA_Idylwylde (AQSU-A4BF),53.52446,-113.451904,POINT(-113.451904 53.52446)
166953,ACA_W.P.Wagner(AQSU-133F),53.500053,-113.453636,POINT(-113.453636 53.500053)
166961,ACA_Bonnie Doon (AQSU-8CBD),53.526333,-113.46699,POINT(-113.46699 53.526333)
166971,ACA_BPAC (AQSU-6FE5),53.549248,-113.939095,POINT(-113.939095 53.549248)
166969,ACA_Summerside(AQSU-D273),53.419025,-113.45067,POINT(-113.45067 53.419025)
166977,ACA_StrathconaCL (AQSU-9E5B),53.52217,-113.493385,POINT(-113.493385 53.52217)
166981,ACA_Chappelle(AQSU-9FF5),53.407112,-113.58364,POINT(-113.58364 53.407112)
167935,Wendyl,53.48433,-113.64922,POINT(-113.64922 53.48433)
172951,Goldstick Park,53.54826,-113.40451,POINT(-113.40451 53.54826)
173005,Chemistry building_RZ_01,53.518604,-113.52866,POINT(-113.52866 53.518604)
177397,Miquelon Lake Visitor Centre_EPA,53.239025,-112.89639,POINT(-112.89639 53.239025)
178113,ACA_Morinville (AQSU - 2C47),53.797264,-113.64369,POINT(-113.64369 53.797264)
178323,Riverdale,53.542347,-113.46432,POINT(-113.46432 53.542347)
187769,Akinsdale,53.631107,-113.58479,POINT(-113.58479 53.631107)
188593,EDTNAB_Miller,53.610676,-113.41368,POINT(-113.41368 53.610676)
189139,Garneau1,53.51572,-113.51871,POINT(-113.51871 53.51572)
193113,Greenfield,53.46823,-113.535736,POINT(-113.535736 53.46823)
195423,Malmo Plains,53.485397,-113.53542,POINT(-113.53542 53.485397)
197365,EFMF_Temp,53.534122,-113.47541,POINT(-113.47541 53.534122)
197383,ACA_WestlockCounty (AQSU-509E),54.15923,-113.85229,POINT(-113.85229 54.15923)
197389,ACA_Pickardville (AQSU-1D05),54.04966,-113.88053,POINT(-113.88053 54.04966)
197407,ACA_EnochSE (AQSU-AD04),53.467728,-113.703255,POINT(-113.703255 53.467728)
203517,WCAS_ParklandCountyCentre,53.559006,-114.000725,POINT(-114.000725 53.559006)
214019,AQSU-3330_Stony-Plain,53.5475,-114.10844,POINT(-114.10844 53.5475)
214785,AE- McIntyre Reference,53.486317,-113.46324,POINT(-113.46324 53.486317)
217093,ISC PA-5,53.486996,-113.46028,POINT(-113.46028 53.486996)
217147,SS,53.423473,-113.53611,POINT(-113.53611 53.423473)
219323,bill gilhespy complex,53.61041,-113.574394,POINT(-113.574394 53.61041)
219549,Miquelon Lake_EPA,53.240032,-112.890526,POINT(-112.890526 53.240032)
220327,Brookside,53.490932,-113.56756,POINT(-113.56756 53.490932)
223505,SAMBA,53.650555,-113.61139,POINT(-113.61139 53.650555)
223765,ACA_GallagherPark,53.532684,-113.47296,POINT(-113.47296 53.532684)
224243,Outdoor Pool,53.36261,-113.72619,POINT(-113.72619 53.36261)
224259,Public Works,53.34485,-113.72582,POINT(-113.72582 53.34485)
