sensor_index,name,latitude,longitude,geometry
278779,Sharp Hills Wind Farm,51.678337,-110.66584,POINT (-110.66584 51.678337)
280282,Wild Rose 2,49.81471,-110.55075,POINT (-110.55075 49.81471)
38449,PAS_Crescent Heights,50.0488,-110.68129,POINT (-110.68129 50.0488)
38527,PAS_Oyen,51.353207,-110.4846,POINT (-110.4846 51.353207)
90485,PAS_Duchess(AQSU-AC9D),50.731483,-111.90257,POINT (-111.90257 50.731483)
114435,PAS_AcadiaValley(AQSU-D48F),51.158504,-110.20845,POINT (-110.20845 51.158504)
121533,AQSU-2DB6,49.66113,-110.2928,POINT (-110.2928 49.66113)
121565,PAS_Redcliff(AQSU-A84B),50.077908,-110.78538,POINT (-110.78538 50.077908)
121943,PAS_Empress(AQSU-9D8F),50.95494,-110.0086,POINT (-110.0086 50.95494)
122099,PAS_Consort(AQSU-0BB9),52.008217,-110.77418,POINT (-110.77418 52.008217)
122203,PAS_Warner(AQSU-7104),49.281773,-112.20722,POINT (-112.20722 49.281773)
151162,PAS_Hanna(AQSU-706B),51.64296,-111.93076,POINT (-111.93076 51.64296)
166923,PAS_Raymond(AQSU-978A),49.465958,-112.66931,POINT (-112.66931 49.465958)
166925,PAS_Jenner(AQSU-14FF),50.748875,-111.18138,POINT (-111.18138 50.748875)
166947,PAS_Foremost(AQSU-0E7F),49.476425,-111.44159,POINT (-111.44159 49.476425)
166955,PAS_Youngstown(AQSU-A056),51.529312,-111.20714,POINT (-111.20714 51.529312)
166957,PAS_Ralston(AQSU-BDA2),50.246002,-111.16488,POINT (-111.16488 50.246002)
213995,PAS Vauxhall AQSU-87FC,50.068954,-112.10579,POINT (-112.10579 50.068954)
214007,PAS Bow Island AQSU-333E,49.870388,-111.37903,POINT (-111.37903 49.870388)
238115,Dinosaur Provincial Park SL,50.761295,-111.52404,POINT (-111.52404 50.761295)
