community_ab,community_eccc,ab_reading_date,ab_current_aqhi,ab_forecast_today,ab_forecast_tomorrow,ab_forecast_tonight,ab_pulled_at_utc,eccc_current_aqhi,eccc_pulled_at_utc,diff_ab_minus_eccc,abs_diff,flag
Edmonton,Edmonton,2026-07-20 17:00,11.0,N/A,8,11,2026-07-20T23:36:33+00:00,11.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Calgary,Calgary,2026-07-20 17:00,3.0,N/A,6,6,2026-07-20T23:36:33+00:00,3.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Red Deer,Red Deer,2026-07-20 17:00,3.0,N/A,8,8,2026-07-20T23:36:33+00:00,3.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Fort McMurray,Fort McMurray,2026-07-20 17:00,10.0,N/A,9,11,2026-07-20T23:36:33+00:00,10.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Grande Prairie,Grande Prairie,2026-07-20 17:00,10.0,N/A,11,11,2026-07-20T23:36:33+00:00,11.0,2026-07-20T23:36:33+00:00,-1.0,1.0,Minor difference
Lethbridge,Lethbridge,2026-07-20 17:00,3.0,N/A,4,4,2026-07-20T23:36:33+00:00,3.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Medicine Hat,Medicine Hat,2026-07-20 17:00,3.0,N/A,4,4,2026-07-20T23:36:33+00:00,3.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Airdrie,Airdrie,2026-07-20 17:00,3.0,N/A,6,6,2026-07-20T23:36:33+00:00,3.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Cold Lake,Cold Lake,2026-07-20 17:00,6.0,N/A,7,8,2026-07-20T23:36:33+00:00,6.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Drayton Valley,Drayton Valley,2026-07-20 17:00,10.0,N/A,8,11,2026-07-20T23:36:33+00:00,10.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
St. Albert,St. Albert,2026-07-20 17:00,9.0,N/A,8,11,2026-07-20T23:36:33+00:00,9.0,2026-07-20T23:36:33+00:00,0.0,0.0,OK
Strathcona County,Sherwood Park,2026-07-20 17:00,11.0,N/A,8,11,2026-07-20T23:36:33+00:00,,,,,OK
