community_ab,n_records,mean_diff,max_abs_diff,hours_with_difference,significant_differences
Airdrie,253,0.01606425702811245,3.0,8,1
Calgary,253,0.024193548387096774,1.0,8,0
Cold Lake,253,0.01593625498007968,1.0,12,0
Drayton Valley,253,0.02390438247011952,2.0,9,1
Edmonton,253,0.01195219123505976,2.0,13,2
Fort McMurray,253,0.04365079365079365,11.0,22,4
Grande Prairie,253,0.060240963855421686,7.0,44,17
Lethbridge,253,0.116,2.0,29,2
Medicine Hat,253,0.0,1.0,6,0
Red Deer,253,0.016129032258064516,2.0,10,2
St. Albert,253,0.10330578512396695,3.0,26,2
Strathcona County,253,,,0,0
