StationName,ParameterName
Jasper,AQHI
Jasper,Fine Particulate Matter
Jasper,Total Reduced Sulphur
Jasper,Ozone
Jasper,Relative Humidity
Jasper,Nitric Oxide
Jasper,Wind Direction
Jasper,Outdoor Temperature
Jasper,Wind Speed
Jasper,Total Oxides of Nitrogen
Jasper,Sulphur Dioxide
Jasper,Nitrogen Dioxide
Enoch,Total Oxides of Nitrogen
Enoch,Wind Speed
Enoch,AQHI
Enoch,Wind Direction
Enoch,Ozone
Enoch,Relative Humidity
Enoch,Outdoor Temperature
Enoch,Nitric Oxide
Enoch,Fine Particulate Matter
Enoch,Nitrogen Dioxide
Carrot Creek,Outdoor Temperature
Carrot Creek,Ozone
Carrot Creek,Relative Humidity
Carrot Creek,Total Oxides of Nitrogen
Carrot Creek,Wind Speed
Carrot Creek,Sulphur Dioxide
Carrot Creek,Wind Direction
Carrot Creek,Nitric Oxide
Carrot Creek,Nitrogen Dioxide
Genesee,AQHI
Genesee,Relative Humidity
Genesee,Nitrogen Dioxide
Genesee,Ozone
Genesee,Total Oxides of Nitrogen
Genesee,Nitric Oxide
Genesee,Outdoor Temperature
Genesee,Wind Speed
Genesee,Sulphur Dioxide
Genesee,Wind Direction
Genesee,Fine Particulate Matter
Meadows,Outdoor Temperature
Meadows,Relative Humidity
Meadows,Total Oxides of Nitrogen
Meadows,Nitric Oxide
Meadows,Wind Speed
Meadows,Nitrogen Dioxide
Meadows,Wind Direction
Meadows,Sulphur Dioxide
Wagner2,Outdoor Temperature
Wagner2,Sulphur Dioxide
Wagner2,Wind Direction
Wagner2,Relative Humidity
Wagner2,Wind Speed
Wagner2,Total Oxides of Nitrogen
Wagner2,Nitrogen Dioxide
Wagner2,Nitric Oxide
Edson,Ozone
Edson,Nitrogen Dioxide
Edson,AQHI
Edson,Wind Direction
Edson,Relative Humidity
Edson,Fine Particulate Matter
Edson,Nitric Oxide
Edson,Outdoor Temperature
Edson,Total Oxides of Nitrogen
Edson,Sulphur Dioxide
Edson,Wind Speed
Breton,Total Oxides of Nitrogen
Breton,Relative Humidity
Breton,Outdoor Temperature
Breton,Sulphur Dioxide
Breton,Nitrogen Dioxide
Breton,Wind Speed
Breton,Wind Direction
Breton,Ozone
Breton,Nitric Oxide
Steeper,Nitric Oxide
Steeper,Sulphur Dioxide
Steeper,Relative Humidity
Steeper,Wind Direction
Steeper,Ozone
Steeper,AQHI
Steeper,Wind Speed
Steeper,Nitrogen Dioxide
Steeper,Total Oxides of Nitrogen
Steeper,Carbon Monoxide
Steeper,Fine Particulate Matter
Steeper,Outdoor Temperature
Woodcroft,Relative Humidity
Woodcroft,Sulphur Dioxide
Woodcroft,Wind Direction
Woodcroft,Ozone
Woodcroft,Outdoor Temperature
Woodcroft,Nitric Oxide
Woodcroft,Wind Speed
Woodcroft,Total Oxides of Nitrogen
Woodcroft,Nitrogen Dioxide
Woodcroft,Fine Particulate Matter
Woodcroft,AQHI
Sherwood Park,AQHI
Sherwood Park,Total Oxides of Nitrogen
Sherwood Park,Nitrogen Dioxide
Sherwood Park,Wind Direction
Sherwood Park,Nitric Oxide
Sherwood Park,Ozone
Sherwood Park,Fine Particulate Matter
Sherwood Park,Outdoor Temperature
Sherwood Park,Total Hydrocarbons
Sherwood Park,Wind Speed
Sherwood Park,Sulphur Dioxide
Sherwood Park,Hydrogen Sulphide
Ardrossan,Outdoor Temperature
Ardrossan,Wind Direction
Ardrossan,Total Oxides of Nitrogen
Ardrossan,Nitrogen Dioxide
Ardrossan,Wind Speed
Ardrossan,Hydrogen Sulphide
Ardrossan,Fine Particulate Matter
Ardrossan,Sulphur Dioxide
Ardrossan,Nitric Oxide
Ardrossan,Ozone
Ardrossan,AQHI
Drayton Valley,Nitrogen Dioxide
Drayton Valley,Nitric Oxide
Drayton Valley,Sulphur Dioxide
Drayton Valley,Fine Particulate Matter
Drayton Valley,Wind Speed
Drayton Valley,Ozone
Drayton Valley,Outdoor Temperature
Drayton Valley,AQHI
Drayton Valley,Wind Direction
Drayton Valley,Total Oxides of Nitrogen
Drayton Valley,Relative Humidity
Hinton-Drinnan,AQHI
Hinton-Drinnan,Wind Direction
Hinton-Drinnan,Wind Speed
Hinton-Drinnan,Hydrogen Sulphide
Hinton-Drinnan,Ozone
Hinton-Drinnan,Sulphur Dioxide
Hinton-Drinnan,Total Reduced Sulphur
Hinton-Drinnan,Relative Humidity
Hinton-Drinnan,Nitric Oxide
