StationName,Latitude,Longitude,ReadingDate,forecast_valid_time_utc,AQHI,AQHI_forecast_3h,forecast_spatial_weight,met_forecast_time_utc,missing_feature_count
Elk Island,53.68236,-112.86806,2026-09-09 05:00:00+00:00,2026-09-09 08:00:00+00:00,1.0,1.21505165100098,0.25,2026-09-09T08:00:00+00:00,0
Sherwood Park,53.53209,-113.32098,2026-09-09 07:00:00+00:00,2026-09-09 10:00:00+00:00,2.0,1.55896377563477,0.5812,2026-09-09T10:00:00+00:00,0
Redwater,53.951834,-113.105857,2026-09-09 07:00:00+00:00,2026-09-09 10:00:00+00:00,2.0,1.69550061225891,0.5812,2026-09-09T10:00:00+00:00,0
Bruderheim,53.805629,-112.925851,2026-09-09 07:00:00+00:00,2026-09-09 10:00:00+00:00,2.0,1.86047828197479,0.5812,2026-09-09T10:00:00+00:00,0
Raymond (Airpointer),49.4621,-112.642376,2026-09-09 07:00:00+00:00,2026-09-09 10:00:00+00:00,1.0,1.22595715522766,0.5812,2026-09-09T10:00:00+00:00,0
Stony Mountain,55.62141,-111.17269,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.21329605579376,0.7479,2026-09-09T11:00:00+00:00,0
Airdrie,51.268227,-114.037677,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.78784704208374,0.7479,2026-09-09T11:00:00+00:00,0
Cold Lake South,54.4138811,-110.2330575,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.0,0.7479,2026-09-09T11:00:00+00:00,0
Grande Prairie - Henry Pirker,55.176667,-118.8075,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.60363686084747,0.7479,2026-09-09T11:00:00+00:00,0
Gibbons,53.827241,-113.327174,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.59051358699799,0.6881,2026-09-09T11:00:00+00:00,0
Conklin Community,55.63233,-111.078872,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.14539468288422,0.7479,2026-09-09T11:00:00+00:00,0
Genesee,53.30156091,-114.2015721,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.33775210380554,0.7479,2026-09-09T11:00:00+00:00,0
Fox Creek,54.395492,-116.80948,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.52317881584167,0.7479,2026-09-09T11:00:00+00:00,0
Drayton Valley,53.22002357,-114.9839737,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.32164990901947,0.7479,2026-09-09T11:00:00+00:00,0
Fort McMurray Athabasca Valley,56.73344,-111.39047,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.01346492767334,0.7479,2026-09-09T11:00:00+00:00,0
Fort McKay South,57.14908,-111.64262,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.12136101722717,0.6881,2026-09-09T11:00:00+00:00,0
Fort McKay,57.18945,-111.64045,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.22590553760529,0.7479,2026-09-09T11:00:00+00:00,0
Fort Chipewyan,58.7084,-111.1764,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.38145005702972,0.7479,2026-09-09T11:00:00+00:00,0
Enoch,53.498049,-113.760702,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.18460559844971,0.7479,2026-09-09T11:00:00+00:00,0
Calgary Varsity,51.082631,-114.139072,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.71821701526642,0.7479,2026-09-09T11:00:00+00:00,0
Happy Valley,55.752778,-119.086667,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.58430504798889,0.7479,2026-09-09T11:00:00+00:00,0
Edson,53.593824,-116.395877,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.04667365550995,0.7479,2026-09-09T11:00:00+00:00,0
Steeper,53.1325994,-117.0913947,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.78958880901337,0.7479,2026-09-09T11:00:00+00:00,0
Anzac,56.44928,-111.03722,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.11600017547607,0.6881,2026-09-09T11:00:00+00:00,0
St. Lina,54.215961,-111.503304,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.17207562923431,0.7479,2026-09-09T11:00:00+00:00,0
Beaverlodge,55.1963,-119.3968,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.65529131889343,0.7479,2026-09-09T11:00:00+00:00,0
Red Deer - Riverside,52.298677,-113.79354,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.3527923822403,0.7479,2026-09-09T11:00:00+00:00,0
Brooks Meadowplace,50.558872,-111.863622,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.14723753929138,0.7479,2026-09-09T11:00:00+00:00,0
High Level (Airpointer),58.521452,-117.162094,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.04408764839172,0.6881,2026-09-09T11:00:00+00:00,0
Lethbridge,49.716184,-112.800586,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.49664080142975,0.7479,2026-09-09T11:00:00+00:00,0
Medicine Hat - Crescent Heights,50.049003,-110.681328,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,1.0,1.17063105106354,0.7479,2026-09-09T11:00:00+00:00,0
Calgary Central Inglewood,51.030789,-114.008836,2026-09-09 08:00:00+00:00,2026-09-09 11:00:00+00:00,2.0,1.86029243469238,0.7479,2026-09-09T11:00:00+00:00,0
