Name,Latitude,Longitude
Edmonton East,53.5482115,-113.3680856
Edmonton Lendrum,53.4978,-113.527
Calgary Central Inglewood,51.030789,-114.008836
Calgary Southeast,50.955122,-113.969742
Calgary Varsity,51.08272,-114.138994
Lethbridge,49.7161843,-112.800586
Elk Island,53.6824,-112.8681
Fort Saskatchewan,53.698756,-113.222831
Ross Creek,53.7162,-113.1999
Range Road 220,53.7524,-113.1259
Cold Lake South,54.4138811,-110.2330575
Caroline,51.95,-114.7
Medicine Hat - Crescent Heights,50.0488873,-110.6811172
Grande Prairie - Henry Pirker,55.1766364,-118.8077555
Smoky Heights,55.405,-118.275
Beaverlodge,55.1963,-119.3968
Carrot Creek,53.6210616,-115.8691549
Hinton-Drinnan,53.4273011,-117.544067
Genesee,53.306507,-114.200347
Meadows,53.5299999,-114.6361
Powers,53.633,-114.4199
Fort McMurray Athabasca Valley,56.7328,-111.3902
Fort McKay,57.189406,-111.640504
Mildred Lake,57.05,-111.5631
Buffalo Viewpoint,56.9967,-111.5926
Mannix,56.9688,-111.482
Fort McMurray Patricia McInnes,56.751386,-111.476596
Fort Chipewyan,58.7084,-111.1764
Barge Landing,57.1982,-111.5996
Lower Camp,57.026869,-111.5007492
Fort McKay South,57.1492,-111.6424
Red Deer - Riverside,52.298622,-113.793438
Wagner2,53.429444,-114.380556
Bruderheim,53.80012,-112.9278
Drayton Valley,53.220056,-114.983408
Edson,53.593611,-116.392778
Breton,53.090278,-114.460556
Steeper,53.1325,-117.091111
St. Lina,54.2165,-111.5026
Anzac,56.448889,-111.038056
Woodcroft,53.564411,-113.562583
Red Deer - Lancaster,52.24095,-113.765439
Sherwood Park,53.53209,-113.32098
Reno - PRAMP,55.87,-117.057
Ardrossan,53.554691,-113.144105
Gibbons,53.827241,-113.327174
St. Albert,53.6269722,-113.6119166
Stony Mountain,55.62141,-111.17269
Conklin Community,55.632331,-111.078872
Brion-MacKay River,56.779722,-112.089167
Wapasu,57.2591972,-111.0385833
Janvier,55.9033,-110.7499
Firebag,57.23732,-110.90004
Three Creeks 842,56.27408,-116.9815
Three Creeks 986,56.37603,-116.9406
Airdrie,51.268227,-114.037677
Redwater,53.951834,-113.105857
Edmonton McCauley,53.549509,-113.48593
Scotford South,53.759684,-113.027247
Lamont,53.757334,-112.778004
Tamarack,54.604935,-110.452637
Waskow ohci Pimatisiwin,57.1837,-111.6395
Fort Hills,57.3489,-111.63969
Jackfish 2/3,55.5186932,-110.9759926
Jackfish 1,55.87711,-111.44853
Surmont 2,56.2124673,-110.9091168
Ells River,57.24118,-111.722081
Grimshaw,56.18657,-117.604994
PRC,56.38257,-116.769283
Lac La Biche,54.76516,-111.971449
Hinton-Hillcrest,53.3927365,-117.5846086
Fox Creek,54.395492,-116.80948
High Level (Airpointer),58.512216,-117.162258
Leduc Sensor,53.241439,-113.503769
O’Morrow Station 1,54.9036817,-112.8433489
Poacher’s Landing Station 2,54.9457874,-112.816501
Happy Valley,55.752778,-119.086667
Kirby North,55.461647,-111.218823
Brooks Meadowplace,50.558969,-111.863769
Jasper,52.873528,-118.09144
Okotoks Wylie,50.728571,-113.969207
Hanna Library (Airpointer),51.642351,-111.928226
Raymond (Airpointer),49.46218,-112.64222
Enoch,53.4980544,-113.7607143
E-BAM Swan Hills,54.71695,-115.4047
Waskatenau,54.098046,-112.779695
Edmonton-Gold Bar,53.54925,-113.41473
Edmonton-Beverly,53.56693,-113.39849
E-BAM Peerless Lake FN,56.68136,-114.57921
E-BAM Slave Lake,55.290868,-114.758962
E-BAM Trout Lake,56.499503,-114.552304
Southfort,53.682364,-113.237639
Cochrane-Mitford Park,51.188118,-114.490938
