sensor_index,last_seen,name,location_type,latitude,longitude,pm2.5,pm2.5_a,pm2.5_b,geometry,province
266614,1773901051,Pit 8 PRM2(new2025),0,49.235546,-105.29647,0.0,0.0,0.0,POINT (-105.29647 49.235546),SK
272918,1773901023,Shaunavon Public School,0,49.64833,-108.412155,0.0,0.0,0.0,POINT (-108.412155 49.64833),SK
13089,1773901082,East Regina,0,50.44632,-104.40226,6.8,0.0,6.8,POINT (-104.40226 50.44632),SK
278055,1773901036,Aberdeen,0,52.32907,-106.28809,12.5,12.6,12.5,POINT (-106.28809 52.32907),SK
279087,1773901017,Avonlea,0,50.01725,-105.05532,1.0,1.0,1.0,POINT (-105.05532 50.01725),SK
280276,1773900874,"Olive Grove, Regina SK",0,50.425274,-104.53042,3.4,3.2,3.6,POINT (-104.53042 50.425274),SK
280344,1773901039,Holy Trinity Catholic School Division Board Office,0,50.3942,-105.49968,4.2,3.9,4.5,POINT (-105.49968 50.3942),SK
280768,1773901091,Columbus Baseball Park,0,50.43188,-104.641235,11.5,10.2,12.8,POINT (-104.641235 50.43188),SK
284004,1773901064,#1 Admin Exterior,0,54.64922,-102.81751,8.2,7.5,8.8,POINT (-102.81751 54.64922),SK
284246,1773901035,#4 Exploration,0,54.640182,-102.830734,6.0,6.3,5.7,POINT (-102.830734 54.640182),SK
284296,1773901091,#2_Comms Tower Sea Can,0,54.62586,-102.815796,14.5,14.4,14.6,POINT (-102.815796 54.62586),SK
287588,1773901081,AQSU-Parks Canada Ops,0,49.24228,-107.7334,0.0,0.0,0.0,POINT (-107.7334 49.24228),SK
288558,1773901022,Whitecap Dakota Nation,0,51.876564,-106.71199,11.0,10.9,11.2,POINT (-106.71199 51.876564),SK
291698,1773900980,Muskoday First Nation,0,53.089066,-105.49045,7.8,8.0,7.5,POINT (-105.49045 53.089066),SK
31411,1773901074,SPSA Radio Technical Services,0,53.19702,-105.7409,7.1,6.6,7.7,POINT (-105.7409 53.19702),SK
35205,1773901071,Indian Head,0,50.530582,-103.67302,11.9,11.7,12.2,POINT (-103.67302 50.530582),SK
37889,1773901036,AQSU-3317,0,51.49611,-107.0625,0.0,0.0,7.2,POINT (-107.0625 51.49611),SK
39067,1773901058,Flying Dust First Nation - MLTC,0,54.135418,-108.40431,2.8,178.6,2.8,POINT (-108.40431 54.135418),SK
80161,1773901030,Waterhen Lake First Nation (MLTC Sensor),0,54.51842,-108.41052,0.0,17.1,0.0,POINT (-108.41052 54.51842),SK
80173,1773901023,Sucker River,0,55.282566,-105.16657,15.3,4.4,26.2,POINT (-105.16657 55.282566),SK
83949,1773900985,Martensville,0,52.28792,-106.655334,13.8,12.5,15.2,POINT (-106.655334 52.28792),SK
83977,1773901064,Saskatoon East,0,52.104385,-106.615204,16.6,15.6,17.6,POINT (-106.615204 52.104385),SK
90265,1773900988,Buffalo River Dene Nation - MLTC,0,55.92818,-108.92564,0.0,0.0,0.0,POINT (-108.92564 55.92818),SK
95365,1773901061,Grandmothers Bay,0,55.625896,-104.71085,5.4,5.3,5.5,POINT (-104.71085 55.625896),SK
95507,1773901063,La Ronge,0,55.099724,-105.29466,5.7,5.7,5.7,POINT (-105.29466 55.099724),SK
106306,1773901089,Hall Lake,0,55.11413,-105.91855,5.6,7.4,3.8,POINT (-105.91855 55.11413),SK
132901,1773900904,Weyburn Arenas,0,49.6659,-103.86062,3190.7,3188.9,3192.5,POINT (-103.86062 49.6659),SK
134938,1773901069,NWR Weather,0,50.501785,-104.660446,4.2,,4.2,POINT (-104.660446 50.501785),SK
136784,1773901051,Johnson Shoyama Graduate School of Public Policy — University of Regina,0,50.440098,-104.611,2.7,2.2,3.1,POINT (-104.611 50.440098),SK
137258,1773901062,AQSU-E4DB,0,49.669876,-103.17209,33.2,29.8,36.5,POINT (-103.17209 49.669876),SK
137774,1773901028,Poplar,0,52.118786,-106.671135,7.3,5.5,9.1,POINT (-106.671135 52.118786),SK
143688,1773901004,St. Joseph High School,0,52.14765,-106.583755,32.6,25.2,40.0,POINT (-106.583755 52.14765),SK
145074,1773901086,Dalmeny Downtown,0,52.340893,-106.773705,12.6,13.0,12.3,POINT (-106.773705 52.340893),SK
151158,1773900992,Goodwater Field Office,0,49.469376,-103.70854,16.4,15.6,17.1,POINT (-103.70854 49.469376),SK
151170,1773901040,CARLYE sk,0,49.638657,-102.27627,0.0,25.2,0.0,POINT (-102.27627 49.638657),SK
151386,1773901017,Weyburn,0,49.658752,-103.85062,0.0,35.9,0.0,POINT (-103.85062 49.658752),SK
152072,1773900987,Leisure Centre,0,49.669205,-103.84738,36.7,6.0,67.5,POINT (-103.84738 49.669205),SK
152154,1773901093,Mosaic Stadium,0,50.451645,-104.63257,10.1,7.6,12.7,POINT (-104.63257 50.451645),SK
157597,1773900989,Rook I Camp,0,57.652084,-109.27013,3.6,3.0,4.2,POINT (-109.27013 57.652084),SK
166031,1773901072,Saskatoon Eastview,0,52.090675,-106.61149,30.7,26.3,35.0,POINT (-106.61149 52.090675),SK
175687,1773901066,AQSU-41A9,0,52.739178,-103.98449,15.6,13.5,17.8,POINT (-103.98449 52.739178),SK
192963,1773901048,Cypress Hills Prov Park SPSA,0,49.663673,-109.53532,0.0,0.0,0.0,POINT (-109.53532 49.663673),SK
193091,1773901053,Rams 1,0,50.414425,-104.586845,0.0,0.0,9.0,POINT (-104.586845 50.414425),SK
193110,1773901003,Mosaic Stadium Upper Level,0,50.44997,-104.63419,7.9,7.8,8.0,POINT (-104.63419 50.44997),SK
195477,1773900975,Colonsay,0,51.976357,-105.87072,7.4,6.7,8.0,POINT (-105.87072 51.976357),SK
195485,1773901051,Blaine Lake,0,52.831364,-106.87386,14.6,14.4,14.8,POINT (-106.87386 52.831364),SK
195505,1773901088,Delisle,0,51.92633,-107.13111,12.3,12.0,12.5,POINT (-107.13111 51.92633),SK
195511,1773900992,Hanley,0,51.633156,-106.44209,14.1,14.6,13.6,POINT (-106.44209 51.633156),SK
195555,1773901050,Rosthern,0,52.666874,-106.34828,7.2,8.7,5.7,POINT (-106.34828 52.666874),SK
195659,1773901085,Foley Base PRM1,0,49.23043,-105.47477,0.1,0.0,0.2,POINT (-105.47477 49.23043),SK
196017,1773901051,Wildwood,0,52.107727,-106.593544,18.7,18.6,18.8,POINT (-106.593544 52.107727),SK
196429,1773901084,All Saints Catholic School,0,50.3135,-107.78,0.0,0.0,0.0,POINT (-107.78 50.3135),SK
196479,1773901046,Christ The King School,0,49.65119,-108.40426,3420.8,3442.1,3399.5,POINT (-108.40426 49.65119),SK
209603,1773900984,FHQTC LRES Urban Office,0,50.471775,-104.58396,11.0,11.3,10.8,POINT (-104.58396 50.471775),SK
209845,1773901019,AQSU-Muskeg Lake,0,53.003407,-106.87685,15.0,16.0,14.0,POINT (-106.87685 53.003407),SK
211611,1773901090,FHQTC LRES Treaty Four Territory Air Quality Monitor,0,50.756958,-103.78721,12.4,12.6,12.2,POINT (-103.78721 50.756958),SK
218169,1773901051,Mosaic Stadium Sideline (2),0,50.45109,-104.63352,8.8,9.5,8.2,POINT (-104.63352 50.45109),SK
220665,1773901084,SAS / Saskatoon Kinsmen Henk Ruys Soccer Centre,0,52.1678,-106.631836,13.2,13.4,13.0,POINT (-106.631836 52.1678),SK
223245,1773900979,All Nations Healing Hospital/FHQTC Health Services,0,50.761063,-103.78715,0.3,6.4,0.3,POINT (-103.78715 50.761063),SK
224705,1773901011,St. Henry's Sr School,0,50.93659,-102.79673,15.6,15.7,15.5,POINT (-102.79673 50.93659),SK
225117,1773900997,Century Field YRHS,0,51.215965,-102.478065,7.8,7.8,4333.8,POINT (-102.478065 51.215965),SK
226573,1773901043,Mankota Public School,0,49.41989,-107.0674,0.0,0.0,0.0,POINT (-107.0674 49.41989),SK
226635,1773901082,Central Butte School,0,50.796543,-106.504524,2.1,2.2,2.0,POINT (-106.504524 50.796543),SK
226639,1773901069,Assiniboia Composite High School,0,49.62498,-105.99798,0.0,0.0,0.0,POINT (-105.99798 49.62498),SK
227149,1773900993,École Gravelbourg School,0,49.872833,-106.56045,0.0,0.0,0.0,POINT (-106.56045 49.872833),SK
227165,1773901051,Craik School,0,51.044815,-105.82357,15.8,14.2,17.5,POINT (-105.82357 51.044815),SK
227173,1773901054,Prairie South School Division Office,0,50.40043,-105.55701,4.7,5.2,4.1,POINT (-105.55701 50.40043),SK
227183,1773901091,Rouleau School,0,50.19128,-104.90163,4.9,5.1,4.8,POINT (-104.90163 50.19128),SK
229353,1773900982,Borden,0,52.403618,-107.23633,32.6,53.8,11.4,POINT (-107.23633 52.403618),SK
229921,1773901073,Cudworth,0,52.48632,-105.73341,7.0,6.2,7.8,POINT (-105.73341 52.48632),SK
231289,1773900981,AQSU-One Arrow,0,52.740547,-106.029366,9.4,9.4,9.4,POINT (-106.029366 52.740547),SK
251803,1773901053,Saskatchewan Polytechnic Moose Jaw Campus,0,50.40406,-105.551186,5.6,5.3,6.0,POINT (-105.551186 50.40406),SK
